Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,numberofinvestors
2017-05-12,aequm,ecommerce,cloudecommerceplatform,bangalore,undisclosed investors,seedfunding,1000000,1
2017-05-15,zapty,technology,projectmanagementtool,bangalore,IdeaSpring Capital,seedfunding,500000,1
2017-05-15,vernacular.ai,technology,multi-lingualaiplatformforbusinesses,bangalore,Kstart Capital,seedfunding,12031073,1
2017-05-16,niki.ai,technology,ai-basedchatbot,bangalore,SAP,privateequity,12031073,1
2017-05-16,telr,technology,onlinepaymentgateway,mumbai,Innovations East,privateequity,3000000,1
2017-05-16,fynd,ecommerce,fashionecommerceportal,mumbai,Rocketship,privateequity,500000,1
2017-05-17,genie,consumerinternet,hyperlocaldeliveryandlogisticsmobileapp,chennai,undisclosed investors,seedfunding,250000,1
2017-05-17,paysense,consumerinternet,onlinelendingplatform,mumbai,Jungle Ventures,privateequity,5300000,1
2017-05-18,thegoodlife,ecommerce,onlineluxuryteaetailer,mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",seedfunding,1000000,2
2017-05-18,pumpkart,ecommerce,onlinewaterpumpsetailer,chandigarh,Dr. Ritesh Malik,seedfunding,12031073,1
2017-05-18,paytm,ecommerce,mobilewallet&ecommerceplatform,bangalore,SoftBank Group,privateequity,1400000000,1
2017-05-19,ezcred,consumerinternet,consumerlendingplatform,bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",seedfunding,1000000,3
2017-05-19,healthsutra,food&beverage,healthfoodmaker,hyderabad,"Ankur Capital, Hyderabad Angels",seedfunding,12031073,2
2017-05-20,yepme,ecommerce,privatefashionbrandetailer,newdelhi,Gokaldas Exports Ltd,privateequity,12031073,1
2017-05-22,delhivery,logistics,ecommercelogisticsprovider,newdelhi,Fosun International,privateequity,30000000,1
2017-05-22,zipgrid,consumerinternet,"cashless,paperlesssolutionsforhousingsocieties",mumbai,"JLL, 1Crowd",seedfunding,500000,2
2017-05-23,travelspice,ecommerce,travelecommerceportal,hyderabad,Eagle10 Ventures,seedfunding,12031073,1
2017-05-23,magicpin,consumerinternet,hyperlocaldiscoveryplatform,gurgaon,"Lightspeed Venture Partners, Vy Capital,",privateequity,6600000,3
2017-05-23,theprint,consumerinternet,newsportal,newdelhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",seedfunding,12031073,6
2017-05-23,box8,consumerinternet,fooddeliveryplatform,mumbai,Trifecta Capital,privateequity,1000000,1
2017-05-24,gennextstudents,consumerinternet,onlinetutoringservices,mumbai,Undisclosed Investors,seedfunding,580000,1
2017-05-25,ayefinance,finance,non-bankingfinancialcompany,gurgaon,Blue Orchard,privateequity,8000000,1
2017-05-26,whatsloan,consumerinternet,onlinelendingmobileapp,bangalore,Lahiri Music’s family office,seedfunding,12031073,1
2017-05-29,cubeconsumerservices,consumerinternet,financemanagementmobileapp,mumbai,None,seedfunding,12031073,-1
2017-05-29,nivesh,consumerinternet,onlinemfinvestmentplatform,noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",seedfunding,12031073,3
2017-05-29,wowflux,technology,imageprocessingsolution,newdelhi,Undisclosed Investors,seedfunding,12031073,1
2017-05-29,collateralmedical,ecommerce,onlinemedicalequipmentsupplier,mumbai,Carpediem Capital,privateequity,3500000,1
2017-05-30,loadshare,logistics,expresslogisticsnetwork,bangalore,Matrix Partners,seedfunding,12031073,1
2017-05-30,simplilend,consumerinternet,onlinelendingplatform,newdelhi,Undisclosed Investors,seedfunding,12031073,1
2017-05-30,suprdaily,consumerinternet,subscriptionbaseddeliveryplatform,mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",privateequity,1500000,3
2017-05-30,swiggy,consumerinternet,onlinefooddeliveryplatform,bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",privateequity,80000000,6
2017-05-31,sastasundar,ecommerce,onlinepharmacy,kolkata,Rohto Pharmaceutical,privateequity,5000000,1
2017-05-31,magicpin,consumerinternet,hyperlocaldiscovery &rewardsplatform,gurgaon,"Lightspeed India Partners, Waterbridge Ventures",privateequity,7000000,2
2017-04-01,cashe,consumerinternet,online&mobilebasedlendingplatform,mumbai,"Mathew Cyriac, Florintree Advisors,",privateequity,3800000,3
2017-04-03,eruditus,education,executiveeducationprovider,mumbai,Bertelsmann India,privateequity,8200000,1
2017-04-03,testbook,consumerinternet,onlinetestpreparationplatform,mumbai,Matrix Partners India,privateequity,12031073,1
2017-04-03,healthcareathome,healthcare,homehealthcareprovider,noida,Quadria Capital Advisors,privateequity,40000000,1
2017-04-03,tyreexpress,technology,enterpriseiotsolutionsfortyreperformance,mumbai,Rohitash Gupta,seedfunding,12031073,1
2017-04-03,smartcoin,consumerinternet,microlendingplatform,bangalore,Unicorn India Ventures & Others,privateequity,12031073,1
2017-04-04,waycool,food&beverage,fresh-producedistributionplatform,chennai,Aspada Investments,privateequity,2700000,1
2017-04-04,perfios,technology,fin-techsolutions,bangalore,Bessemer Venture Partners,privateequity,6100000,1
2017-04-04,whatfix,technology,interactivetech-supportguides,bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",privateequity,3690000,7
2017-04-04,elastirun,technology,appbasedlogistics&distributionplatform,pune,"Kalaari Capital, Norwest Venture Partners",privateequity,7000000,2
2017-04-04,trukky,consumerinternet,onlinetruckaggregator&bookingplatform,ahmedabad,"Keyur Joshi, Pavan Bakeri",seedfunding,500000,2
2017-04-04,konsultapp,consumerinternet,appbaseddoctorconsultingplatform,newdelhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",seedfunding,500000,4
2017-04-05,creditsudhaar,consumerinternet,creditscoreimprovementplatform,mumbai,"Deepak Kulkarni, Sandeep Pangal",seedfunding,12031073,2
